iter	Passed	Remaining
380	1435	448
381	1438	444
382	1442	440
383	1445	436
384	1448	432
385	1452	428
386	1455	425
387	1459	421
388	1462	417
389	1465	413
390	1469	409
391	1472	405
392	1476	401
393	1479	398
394	1482	394
395	1486	390
396	1489	386
397	1492	382
398	1496	378
399	1499	374
400	1503	371
401	1506	367
402	1509	363
403	1513	359
404	1516	355
405	1519	351
406	1523	348
407	1526	344
408	1529	340
409	1533	336
410	1536	332
411	1540	328
412	1543	325
413	1546	321
414	1550	317
415	1553	313
416	1556	309
417	1560	306
418	1563	302
419	1566	298
420	1570	294
421	1573	290
422	1577	287
423	1580	283
424	1583	279
425	1586	275
426	1590	271
427	1593	268
428	1596	264
429	1600	260
430	1603	256
431	1606	252
432	1609	249
433	1613	245
434	1616	241
435	1619	237
436	1622	233
437	1626	230
438	1629	226
439	1632	222
440	1635	218
441	1639	215
442	1642	211
443	1645	207
444	1648	203
445	1651	200
446	1655	196
447	1658	192
448	1661	188
449	1664	184
450	1668	181
451	1671	177
452	1674	173
453	1677	170
454	1680	166
455	1684	162
456	1687	158
457	1690	155
458	1694	151
459	1697	147
460	1700	143
461	1703	140
462	1706	136
463	1710	132
464	1713	128
465	1717	125
466	1720	121
467	1723	117
468	1727	114
469	1730	110
470	1734	106
471	1737	103
472	1740	99
473	1743	95
474	1746	91
475	1750	88
476	1753	84
477	1756	80
478	1760	77
479	1763	73
480	1767	69
481	1770	66
482	1774	62
483	1777	58
484	1780	55
485	1784	51
486	1787	47
487	1790	44
488	1793	40
489	1797	36
490	1800	33
491	1803	29
492	1806	25
493	1810	21
494	1813	18
495	1817	14
496	1820	10
497	1823	7
498	1827	3
499	1830	0
