iter	Logloss
285	0.4798897733
286	0.4794035099
287	0.4789104844
288	0.478408359
289	0.4777693152
290	0.4773227129
291	0.4764132003
292	0.4757769288
293	0.4751347896
294	0.4745361784
295	0.4738963942
296	0.4729438372
297	0.4720010979
298	0.4716876085
299	0.4710984003
300	0.4702590366
301	0.4696834996
302	0.4694326143
303	0.4690881242
304	0.4686092285
305	0.467908913
306	0.4674253893
307	0.4668414496
308	0.466289802
309	0.4657382248
310	0.4648975429
311	0.4641968845
312	0.4633397012
313	0.4630276618
314	0.4625392057
315	0.4619891142
316	0.4615814966
317	0.4613050148
318	0.4609913706
319	0.4603695712
320	0.4598333855
321	0.4593527788
322	0.4587088632
323	0.4581408828
324	0.4579641414
325	0.4571592478
326	0.4566969228
327	0.4560480255
328	0.4552416735
329	0.4544942816
330	0.4538734305
331	0.4534569947
332	0.4529090962
333	0.4524535767
334	0.4520451577
335	0.4511771715
336	0.4505716863
337	0.4501193712
338	0.4495720027
339	0.4491754933
340	0.4486741412
341	0.4481139225
342	0.447719452
343	0.4471858727
344	0.4465890643
345	0.4460974302
346	0.4455335467
347	0.4451264809
348	0.4445202573
349	0.4439639428
350	0.4433280133
351	0.4428321305
352	0.4423373259
353	0.441771461
354	0.4411873517
355	0.4406817168
356	0.4402921391
357	0.4395021733
358	0.4387179919
359	0.4382532603
360	0.437603917
361	0.4370747938
362	0.4367238537
363	0.4363727587
364	0.4358251414
365	0.4352166121
366	0.4348489703
367	0.434231056
368	0.4337540916
369	0.433251945
370	0.4326068675
371	0.4320738026
372	0.4312821792
373	0.4305484238
374	0.4299660864
375	0.4295965077
376	0.4289315658
377	0.4284112321
378	0.4277790284
379	0.4272539364
380	0.4266898643
381	0.426372233
382	0.4257553331
383	0.4254138771
384	0.4247391769
385	0.4241207385
386	0.4235790184
387	0.4230926637
388	0.4225467214
389	0.4220168009
390	0.4216295746
391	0.4210905759
392	0.4204442534
393	0.4199759678
394	0.4193429384
395	0.4187525708
396	0.4182963221
397	0.417702994
398	0.4171536858
399	0.4166642742
400	0.4162371971
401	0.4158151723
402	0.4152796691
403	0.4148665663
404	0.4144035105
405	0.4137163251
406	0.4132561464
407	0.4130073784
408	0.4126498101
409	0.4120683003
410	0.4115221654
411	0.4109047203
412	0.410277184
413	0.4096301777
414	0.4089894539
415	0.4083233152
416	0.4076982028
417	0.4071154561
418	0.4064349599
419	0.4059540773
420	0.4055489512
421	0.4048926788
422	0.4045036691
423	0.4039080235
424	0.403434653
425	0.4028663498
426	0.4023440262
427	0.4018250756
428	0.401440779
429	0.4011084053
430	0.4005228247
431	0.4001322343
432	0.3996368586
433	0.3993379216
434	0.3988627524
435	0.3984508014
436	0.3978847299
437	0.3974096277
438	0.3968901427
439	0.3963697542
440	0.3959224525
441	0.3954868466
442	0.3950740734
443	0.3945745367
444	0.3940668225
445	0.3935353833
446	0.3929733489
447	0.3925416738
448	0.3922473058
449	0.39179208
450	0.3912031811
451	0.3907065512
452	0.3901255352
453	0.3895328306
454	0.3890092692
455	0.3885418504
456	0.3881383108
457	0.3875176074
458	0.3871261765
459	0.3868151165
460	0.3864557523
461	0.3861280168
462	0.3854935815
463	0.3851089561
464	0.3846951933
465	0.3843583581
466	0.383911455
467	0.3835629346
468	0.3830190908
469	0.3827080205
470	0.3825628291
471	0.3822667801
472	0.3818276917
473	0.3813421991
474	0.380887962
475	0.3803580909
476	0.3800455063
477	0.3796627568
478	0.3791940756
479	0.3785903204
480	0.3780860013
481	0.3777225069
482	0.377203577
483	0.376728476
484	0.3762520555
485	0.3758370336
486	0.3754508365
487	0.3749879623
488	0.3743974627
489	0.3740888647
490	0.37373251
491	0.37329282
492	0.3729204188
493	0.3726002895
494	0.3722323248
495	0.3719111619
496	0.371593302
497	0.371273628
498	0.3711626971
499	0.3708535567
